pulse_index,time_s,x_m,y_m
0,0.0,5e-05,5e-05
1,0.002,7.000000000000001e-05,5e-05
2,0.004,9e-05,5e-05
3,0.006,0.00011,5e-05
4,0.008,0.00013000000000000002,5e-05
5,0.01,0.00015000000000000001,5e-05
6,0.012,0.00017,5e-05
7,0.014,0.00019,5e-05
8,0.016,0.00021,5e-05
9,0.018000000000000002,0.00023,5e-05
10,0.02,0.00025,5e-05
11,0.022,0.00027,5e-05
12,0.024,0.00029,5e-05
13,0.026000000000000002,0.00031000000000000005,5e-05
14,0.028,0.00033000000000000005,5e-05
15,0.03,0.00035,5e-05
16,0.032,0.00037000000000000005,5e-05
17,0.034,0.00039000000000000005,5e-05
18,0.036000000000000004,0.00041000000000000005,5e-05
19,0.038,0.00043000000000000004,5e-05
20,0.04,0.00045000000000000004,5e-05
21,0.042,0.00047000000000000004,5e-05
22,0.044,0.00049,5e-05
23,0.046,0.00051,5e-05
24,0.048,0.00053,5e-05
25,0.05,0.00055,5e-05
26,0.052000000000000005,0.0005700000000000001,5e-05
27,0.054,0.00059,5e-05
28,0.056,0.0006100000000000001,5e-05
29,0.058,0.00063,5e-05
30,0.06,0.00065,5e-05
31,0.062,0.00067,5e-05
32,0.064,0.0006900000000000001,5e-05
33,0.066,0.00071,5e-05
34,0.068,0.0007300000000000001,5e-05
35,0.07,0.0007500000000000001,5e-05
36,0.07200000000000001,0.0007700000000000001,5e-05
37,0.074,0.00079,5e-05
38,0.076,0.0008100000000000001,5e-05
39,0.078,0.00083,5e-05
40,0.08,0.0008500000000000001,5e-05
41,0.082,0.0008700000000000001,5e-05
42,0.084,0.0008900000000000001,5e-05
43,0.08600000000000001,0.0009100000000000001,5e-05
44,0.088,0.0009299999999999999,5e-05
45,0.09,5e-05,0.00019999999999999998
46,0.092,7.000000000000005e-05,0.00019999999999999998
47,0.094,8.999999999999999e-05,0.00019999999999999998
48,0.096,0.00011000000000000004,0.00019999999999999998
49,0.098,0.00013,0.00019999999999999998
50,0.1,0.00015000000000000004,0.00019999999999999998
51,0.10200000000000001,0.0001700000000000001,0.00019999999999999998
52,0.10400000000000001,0.00019000000000000015,0.00019999999999999998
53,0.106,0.00020999999999999998,0.00019999999999999998
54,0.108,0.00023000000000000003,0.00019999999999999998
55,0.11,0.0002500000000000001,0.00019999999999999998
56,0.112,0.00027000000000000017,0.00019999999999999998
57,0.114,0.0002900000000000002,0.00019999999999999998
58,0.116,0.00031000000000000005,0.00019999999999999998
59,0.11800000000000001,0.0003300000000000001,0.00019999999999999998
60,0.12,0.00034999999999999994,0.00019999999999999998
61,0.122,0.00037,0.00019999999999999998
62,0.124,0.00039000000000000005,0.00019999999999999998
63,0.126,0.0004100000000000001,0.00019999999999999998
64,0.128,0.00043000000000000015,0.00019999999999999998
65,0.13,0.0004500000000000002,0.00019999999999999998
66,0.132,0.00047000000000000004,0.00019999999999999998
67,0.134,0.0004900000000000001,0.00019999999999999998
68,0.136,0.0005100000000000001,0.00019999999999999998
69,0.138,0.0005300000000000002,0.00019999999999999998
70,0.14,0.0005500000000000002,0.00019999999999999998
71,0.14200000000000002,0.0005700000000000003,0.00019999999999999998
72,0.14400000000000002,0.0005900000000000001,0.00019999999999999998
73,0.146,0.00061,0.00019999999999999998
74,0.148,0.00063,0.00019999999999999998
75,0.15,0.0006500000000000001,0.00019999999999999998
76,0.152,0.0006700000000000001,0.00019999999999999998
77,0.154,0.00069,0.00019999999999999998
78,0.156,0.00071,0.00019999999999999998
79,0.158,0.0007300000000000001,0.00019999999999999998
80,0.16,0.0007500000000000001,0.00019999999999999998
81,0.162,0.0007700000000000002,0.00019999999999999998
82,0.164,0.0007900000000000002,0.00019999999999999998
83,0.166,0.0008100000000000001,0.00019999999999999998
84,0.168,0.0008300000000000001,0.00019999999999999998
85,0.17,0.0008500000000000002,0.00019999999999999998
86,0.17200000000000001,0.0008700000000000002,0.00019999999999999998
87,0.17400000000000002,0.0008900000000000003,0.00019999999999999998
88,0.176,0.0009099999999999999,0.00019999999999999998
89,0.178,0.0009299999999999999,0.00019999999999999998
90,0.18,5e-05,0.00035
91,0.182,7.000000000000005e-05,0.00035
92,0.184,9.00000000000001e-05,0.00035
93,0.186,0.00011000000000000015,0.00035
94,0.188,0.00013,0.00035
95,0.19,0.00015000000000000004,0.00035
96,0.192,0.0001700000000000001,0.00035
97,0.194,0.00019000000000000015,0.00035
98,0.196,0.00020999999999999998,0.00035
99,0.198,0.00023000000000000003,0.00035
100,0.2,0.0002500000000000001,0.00035
101,0.202,0.00027000000000000017,0.00035
102,0.20400000000000001,0.0002900000000000002,0.00035
103,0.20600000000000002,0.00031000000000000027,0.00035
104,0.20800000000000002,0.0003300000000000003,0.00035
105,0.21,0.00034999999999999994,0.00035
106,0.212,0.00037,0.00035
107,0.214,0.00039000000000000005,0.00035
108,0.216,0.0004100000000000001,0.00035
109,0.218,0.00043000000000000015,0.00035
110,0.22,0.0004500000000000002,0.00035
111,0.222,0.00047000000000000026,0.00035
112,0.224,0.0004900000000000003,0.00035
113,0.226,0.0005100000000000004,0.00035
114,0.228,0.0005300000000000004,0.00035
115,0.23,0.00055,0.00035
116,0.232,0.0005700000000000001,0.00035
117,0.234,0.0005900000000000001,0.00035
118,0.23600000000000002,0.0006100000000000002,0.00035
119,0.23800000000000002,0.0006300000000000002,0.00035
120,0.24,0.0006499999999999999,0.00035
121,0.242,0.0006699999999999999,0.00035
122,0.244,0.00069,0.00035
123,0.246,0.00071,0.00035
124,0.248,0.0007300000000000001,0.00035
125,0.25,0.0007500000000000001,0.00035
126,0.252,0.0007700000000000002,0.00035
127,0.254,0.0007900000000000002,0.00035
128,0.256,0.0008100000000000003,0.00035
129,0.258,0.0008300000000000003,0.00035
130,0.26,0.0008500000000000004,0.00035
131,0.262,0.0008700000000000004,0.00035
132,0.264,0.0008900000000000001,0.00035
133,0.266,0.0009100000000000001,0.00035
134,0.268,0.0009300000000000002,0.00035
135,0.27,5.000000000000022e-05,0.0005
136,0.272,7.000000000000026e-05,0.0005
137,0.274,9.000000000000032e-05,0.0005
138,0.276,0.00011000000000000037,0.0005
139,0.278,0.00013000000000000042,0.0005
140,0.28,0.00015000000000000047,0.0005
141,0.28200000000000003,0.00017000000000000053,0.0005
142,0.28400000000000003,0.00019000000000000058,0.0005
143,0.28600000000000003,0.00021000000000000063,0.0005
144,0.28800000000000003,0.00023000000000000025,0.0005
145,0.29,0.0002499999999999999,0.0005
146,0.292,0.00026999999999999995,0.0005
147,0.294,0.00029,0.0005
148,0.296,0.00031000000000000005,0.0005
149,0.298,0.0003300000000000001,0.0005
150,0.3,0.00035000000000000016,0.0005
151,0.302,0.0003700000000000002,0.0005
152,0.304,0.00039000000000000026,0.0005
153,0.306,0.0004100000000000003,0.0005
154,0.308,0.00042999999999999994,0.0005
155,0.31,0.00045,0.0005
156,0.312,0.00047000000000000004,0.0005
157,0.314,0.0004900000000000001,0.0005
158,0.316,0.0005100000000000001,0.0005
159,0.318,0.0005300000000000002,0.0005
160,0.32,0.0005500000000000002,0.0005
161,0.322,0.0005700000000000003,0.0005
